store_id,store_name,franchise_name,si_do,si_gun_gu,eup_myeon_dong,category,monitoring_partner_id,lat,lng,enterprise_registration_number
74019,◆[괴안]이비가짬뽕,이비가짬뽕(이비가푸드),경기도,부천시,괴안동,중식,739,37.48284049,126.80886209,4090780684
74020,마라하오 서초점,마라하오((주)더하오),서울특별시,서초구,서초동,중식,1373,37.49652319,127.01385200,5178501218
74021,(갈매)라벨르,"",경기도,구리시,갈매동,카페/베이커리/디저트,1444,37.6309223,127.1162004,8421701468
74022,배떡 로제떡볶이 (오치전대점),"",광주광역시,북구,오치동,분식,790,35.18496656,126.90339331,8225100474
74023,아울푸드,"",경기도,시흥시,신천동,한식,754,37.43863273,126.77892233,6254300693
74024,(심곡) 마라하오 부천점,마라하오((주)더하오),경기도,부천시,심곡동,중식,1089,37.48889354,126.77419339,5660101812
74025,비쥬베르 별내점,"",경기도,남양주시,별내동,카페/베이커리/디저트,1444,37.66617960,127.11580508,3666500457
74026,요달의찜닭 상도동,"",경상북도,포항시 남구,상도동,한식,155,36.01559986,129.35885002,8614500575
74027,깨꿀샐러드 권선점,"",경기도,수원시 권선구,권선동,카페/베이커리/디저트,1390,37.25887305,127.02525842,8132800813
74028,◇고기왕창통큰육회비빔밥,"",대구광역시,남구,대명동,한식,508,35.85565699,128.58213371,1591301427
74029,율하동 정씨네 비스트로,"",대구광역시,동구,율하동,서양식,579,35.86892584,128.69686193,5891701311
74030,HIM떡볶이 단계동,"",강원도,원주시,단계동,분식,1101,37.35080249,127.93197263,1234400573
74031,김밥클럽 무실동,"",강원도,원주시,무실동,분식,1101,37.34040856,127.92317765,1775100281
74032,처갓집양념치킨 무실동,"",강원도,원주시,무실동,치킨,1101,37.3410742,127.9220938,1245600337
74033,엽기떡볶이(능곡동),"",경기도,시흥시,능곡동,분식,1041,37.37012373,126.81020323,1340794983
74034,이디야커피 호산동,이디야커피(이디야커피),대구광역시,달서구,호산동,카페/베이커리/디저트,525,35.85420254,128.47714754,6952500738
74035,두근돼지 전포동,"",부산광역시,부산진구,전포동,한식,908,35.15935387,129.06625402,3270200777
74036,(인도금지)청년다방 새롬동(배차후10분&배취금지),"",세종특별자치시,"",새롬동,분식,2336,36.48460340,127.25126720,1760401492
74037,대담식당 율현점,"",서울특별시,강남구,율현동,한식,1197,37.4717922,127.1067568,2361801336
74038,투썸플레이스 대구계명대병원,투썸플레이스 주식회사,대구광역시,달서구,호산동,카페/베이커리/디저트,525,35.85336131,128.47896215,7221901061
74038,투썸플레이스 대구계명대병원,투썸플레이스 주식회사,대구광역시,달서구,호산동,카페/베이커리/디저트,525,35.85336131,128.47896215,7221901061
74039,욱수면옥,"",대구광역시,수성구,신매동,한식,1521,35.83237382,128.70853803,6190905613
74040,◎땡초우동인포자(서창동),"",인천광역시,남동구,서창동,주점,1009,37.42243700,126.75068520,3742800676
74041,백남옥달인손만두,"",경기도,남양주시,오남읍 오남리,한식,722,37.6791039,127.2093820,3014013398
74042,아노히 그날,"",경기도,남양주시,오남읍 오남리,구이류,1090,37.6789436,127.2104228,3963700571
74043,숯불구이막창앤곱창,"",경기도,남양주시,오남읍 오남리,곱창/닭발,722,37.6968508,127.1970109,1322884053
74044,교촌치킨 오남점,교촌치킨(교촌에프앤비),경기도,남양주시,오남읍 오남리,치킨,722,37.6909231,127.2134761,1056400025
74045,음식나라 오남점,"",경기도,남양주시,오남읍 오남리,한식,722,37.6947898,127.2090330,6260201805
74046,(잡지마세요)전선생,"",경기도,남양주시,오남읍 양지리,한식,1474,37.6985279,127.1920876,3531800229
74047,범환푸드 오남점,"",경기도,남양주시,오남읍 오남리,한식,1090,37.6966549,127.2017881,5192900785
74048,오!곱창 진접점,"",경기도,남양주시,오남읍 양지리,곱창/닭발,722,37.7016699,127.1975060,7873300099
74049,바이킹피자 오남점,"",경기도,남양주시,오남읍 양지리,피자,722,37.6972039,127.2051551,8506700276
74050,오성찜요리전문점 오남점,"",경기도,남양주시,오남읍 양지리,한식,722,37.6990909,127.2033896,2745300489
74051,더찜 오남점,"",경기도,남양주시,오남읍 오남리,한식,1090,37.6931983,127.2161991,8072100333
74052,원할머니보쌈족발 오남점,"",경기도,남양주시,오남읍 오남리,족발/보쌈,1090,37.6880484,127.2123934,1321400959
74053,또봉이통닭 오남점,"",경기도,남양주시,오남읍 오남리,치킨,1090,37.6791039,127.2093820,8411501030
74054,빅스타피자(오남진접점),"",경기도,남양주시,오남읍 양지리,피자,722,37.6985279,127.1920876,8241001326
74055,망우리오징어집 오남점,"",경기도,남양주시,오남읍 오남리,초밥전문/회,1090,37.6785838,127.2100647,2064091366
74056,돈치킨 오남점,"",경기도,남양주시,오남읍 오남리,치킨,722,37.6943964,127.2078337,4512600377
74057,멕시카나 양지점,"",경기도,남양주시,오남읍 양지리,치킨,722,37.6989440,127.2030528,1322385076
74058,날개브라더스,"",경기도,남양주시,오남읍 양지리,분식,722,37.6989440,127.2030528,7101101382
74059,숫돌마을) 호식이두마리치킨 오남점,"",경기도,남양주시,오남읍 오남리,치킨,722,37.6939139,127.2152880,6610300766
74060,일신건영)네네치킨 오남리점,"",경기도,남양주시,오남읍 오남리,치킨,722,37.6863127,127.2093220,1322041683
74061,종원족발,"",경기도,남양주시,오남읍 양지리,한식,722,37.6986990,127.2015039,7761600054
74062,87구공탄,"",경기도,남양주시,오남읍 오남리,한식,1090,37.6787067,127.2109187,7230800884
74063,신불떡볶이오남점,"",경기도,남양주시,오남읍 양지리,분식,722,37.6974782,127.2047612,4542101083
74064,양지) 릴리카롱,"",경기도,남양주시,오남읍 양지리,카페/베이커리/디저트,722,37.6989440,127.2030528,4413900536
74065,바글바글떡볶이,"",경기도,남양주시,오남읍 양지리,분식,1090,37.6986990,127.2015039,7364700249
74066,옛닭1975본점,"",경기도,남양주시,오남읍 오남리,치킨,1090,37.6791584,127.2109843,2117800157
74067,피자나라 치킨공주(오남점),"",경기도,남양주시,오남읍 오남리,치킨,722,37.6962410,127.2017142,7502500961
74068,행순네닭한마리,"",경기도,남양주시,오남읍 양지리,한식,722,37.7054010,127.1939476,2171104497
74069,파라솔(2층),"",경기도,남양주시,오남읍 오남리,일식류,1090,37.6968508,127.1970109,4981300342
74070,섬돌모루식당,"",경기도,남양주시,오남읍 오남리,족발/보쌈,722,37.6898592,127.2134051,2113051218
74071,짱이네분식,"",경기도,남양주시,오남읍 양지리,분식,722,37.6972528,127.2036576,8952700462
74072,신통치킨,"",경기도,남양주시,오남읍 오남리,치킨,722,37.6796774,127.2092166,7820100642
74073,청포해물찜,"",경기도,남양주시,오남읍 양지리,한식,722,37.7011909,127.2020211,2062066888
74074,양지) 스시신,"",경기도,남양주시,오남읍 양지리,초밥전문/회,722,37.6991053,127.2026697,8234200325
74075,돌쇠마님곱창,"",경기도,남양주시,오남읍 오남리,곱창/닭발,722,37.6787067,127.2109187,1322340967
74076,킹콩찜닭,"",대구광역시,수성구,신매동,한식,1521,35.83933305,128.70761520,7220900326
74077,키햐아 시지점,"",대구광역시,수성구,욱수동,일식류,1521,35.83022951,128.70807481,8906400216
74078,굽네치킨 서판교점,"",경기도,성남시 분당구,운중동,치킨,1936,37.39086795,127.08293624,1161901330
74079,만복보쌈 오남점,"",경기도,남양주시,오남읍 양지리,족발/보쌈,722,37.7018258,127.1960858,6442700883
74080,커피에반하다 오남점,"",경기도,남양주시,오남읍 양지리,카페/베이커리/디저트,722,37.6993361,127.2024608,1330776487
74081,빨간석쇠구이 오남점,"",경기도,남양주시,오남읍 양지리,한식,722,37.6972039,127.2051551,5232200806
74082,슈퍼맵짱떡볶이,"",경기도,남양주시,오남읍 양지리,분식,1090,37.7058778,127.1982869,6790501514
74083,피자마루오남점,"",경기도,남양주시,오남읍 오남리,피자,722,37.6791039,127.2093820,2710201473
74084,미스사이공오남점,미스사이공(엠푸드에스앤시),경기도,남양주시,오남읍 양지리,기타음식,1090,37.6988732,127.2011847,2954200194
74085,자담치킨,"",경기도,남양주시,오남읍 오남리,치킨,1090,37.6966549,127.2017881,1052974486
74086,떡수르앤돈수르 시지점,"",대구광역시,수성구,신매동,한식,1521,35.83840476,128.70980459,7835700415
74087,본죽대구신매시장점,본죽(본아이에프),대구광역시,수성구,신매동,한식,1521,35.83780173,128.70875737,7922900167
74088,카페브라운,"",대구광역시,수성구,매호동,카페/베이커리/디저트,1521,35.8417547,128.7157144,7734200563
74089,블랑드 마곡동,"",서울특별시,강서구,마곡동,서양식,1737,37.56802500,126.84083749,8381201576
74090,(대치)오목집 한티점,"",서울특별시,강남구,대치동,한식,805,37.49760323,127.05404771,6700101203
74091,◆고기스토리,"",서울특별시,동작구,상도동,한식,677,37.49505788,126.95612148,2010837595
74092,쿠키당 중산점,"",경상북도,경산시,중산동,카페/베이커리/디저트,1521,35.83058426,128.72573391,7462800662
74093,별이김밥 (태평동)(빠른픽업),"",경기도,성남시 수정구,태평동,분식,1586,37.44372083,127.13382199,1822000464
74094,켑트커피(kept cof fee),"",대구광역시,수성구,신매동,카페/베이커리/디저트,1521,35.83702264,128.71061494,6884000204
74095,본죽&비빔밥대구사월점,본죽(본아이에프),대구광역시,수성구,신매동,한식,1521,35.835614,128.7169385,5022581609
74096,본죽&비빔밥시지점,본죽(본아이에프),대구광역시,수성구,신매동,한식,1521,35.84048169,128.70526711,5130678796
74097,모시모시식당,"",경상북도,경산시,정평동,일식류,690,35.83615327,128.72543914,5970101591
74098,낙지이야기 시지점,"",대구광역시,수성구,노변동,한식,1521,35.84113387,128.70115914,5982800326
74099,킹스꼬마김밥,"",대구광역시,수성구,시지동,분식,1521,35.84008645,128.69557889,7670301632
74100,아우프나우트,"",대구광역시,수성구,신매동,기타음식,1521,35.83775846,128.71193296,3090293813
74101,정평식당,"",경상북도,경산시,정평동,한식,1521,35.83672376,128.72747229,5150732546
74102,고집센그집갈비탕 대구시지점,"",대구광역시,수성구,신매동,한식,1521,35.84048169,128.70526711,3701001339
74103,더리터 시지사월점,"",대구광역시,수성구,신매동,카페/베이커리/디저트,690,35.84036692,128.71256628,1013391419
74104,거인통닭,"",대구광역시,수성구,신매동,치킨,1521,35.83716635,128.70954772,1657500116
74105,본죽앤비빔밥카페알파시티점,본죽(본아이에프),대구광역시,수성구,시지동,한식,1521,35.8400694,128.6919839,1084351101
74106,아주조아닭강점,"",대구광역시,수성구,신매동,치킨,1521,35.83775971,128.70950999,5391600853
74107,연안식당 대구시지점,"",대구광역시,수성구,신매동,한식,690,35.84034667,128.70979292,8842300881
74108,컵피 시지점,"",대구광역시,수성구,시지동,카페/베이커리/디저트,690,35.84001492,128.69358864,7620101327
74109,두찜대구 시지신매점(re),"",대구광역시,수성구,신매동,한식,690,35.83727768,128.70892647,4650801798
74110,두냉심열,"",서울특별시,관악구,봉천동,카페/베이커리/디저트,451,37.47391397,126.96615469,7843600785
74111,셀렉토커피 안양 SK V1점 (호계동),셀렉토커피(맥스원이링크),경기도,안양시 동안구,호계동,카페/베이커리/디저트,664,37.3743096,126.9484212,5105400441
